Trade_Num,Datetime,Timestamp,Block,Price,Lower,Upper,Holder_PNL,LP_PNL,IL,Fees,Fee-IL,AMM_PNL,Holder_PNL(%),LP_PNL(%),IL(%),Fees(%),Fee-IL(%),AMM_PNL(%)
,2022-03-07 12:00:00,1646625600.0,14337378.0,2522.261011285226,2824.2704157540506,3505.1708784071366,-10810.806050511921,-12497.31588544209,1686.5098349301697,1077.5110637501648,-608.998771180005,-11419.804821691927,-10.81080605051192,-12.49731588544209,1.6865098349301697,1.0775110637501648,-0.608998771180005,-11.419804821691928
17,2022-03-07 12:00:01,1646625601.0,14337379.0,2522.261011285226,2143.1224843553855,2824.2704157540506,,,,,,,,,,,,
,2022-03-24 12:00:00,1648094400.0,14446723.0,3027.528458997154,2143.1224843553855,2824.2704157540506,6877.4408240385965,1997.300396464765,4880.140427573831,2330.812929970098,-2549.3274976037333,4328.113326434863,6.877440824038596,1.997300396464765,4.880140427573831,2.330812929970098,-2.5493274976037332,4.328113326434862
18,2022-03-24 12:00:01,1648094401.0,14446724.0,3027.528458997154,2841.266124619341,3401.582525304347,,,,,,,,,,,,
,2022-05-08 12:00:00,1651982400.0,14733839.0,2546.8447523250898,2841.266124619341,3401.582525304347,-8950.090668232166,-13048.22156938177,4098.130901149605,6143.373462942658,2045.242561793053,-6904.848106439113,-8.950090668232166,-13.04822156938177,4.098130901149605,6.143373462942658,2.045242561793053,-6.904848106439112
19,2022-05-08 12:00:01,1651982401.0,14733840.0,2546.8447523250898,2303.1097401385314,2824.2704157540506,,,,,,,,,,,,
,2022-05-12 12:00:00,1652328000.0,14758902.0,1968.2958647894086,2303.1097401385314,2824.2704157540506,-9277.006199138297,-16723.984343958255,7446.978144819957,2048.597529657013,-5398.380615162944,-14675.38681430124,-9.277006199138297,-16.723984343958254,7.4469781448199575,2.048597529657013,-5.398380615162944,-14.67538681430124
20,2022-05-12 12:00:01,1652328001.0,14758903.0,1968.2958647894086,1587.6879991170194,2248.4958253150116,,,,,,,,,,,,
,2022-06-13 12:00:00,1655092800.0,14953934.0,1281.06222709047,1587.6879991170194,2248.4958253150116,-8913.254733567948,-20035.086939408917,11121.832205840969,6124.764467760544,-4997.0677380804245,-13910.322471648373,-8.913254733567948,-20.035086939408917,11.121832205840969,6.124764467760545,-4.997067738080425,-13.910322471648373
21,2022-06-13 12:00:01,1655092801.0,14953935.0,1281.06222709047,1043.2072563404242,1606.8540632231052,,,,,,,,,,,,
,2022-06-24 16:00:01,1656057601.0,15016857.0,1139.5067043871172,1043.2072563404242,1606.8540632231052,-3007.2480043166797,-3828.8878992995233,821.6398949828435,5537.042540687001,4715.402645704157,1708.1546413874776,-3.0072480043166796,-3.8288878992995237,0.8216398949828435,5.537042540687001,4.715402645704157,1.7081546413874775
